path	exists	kind	compile_status	reference_hits_by_stem
.worktrees/ci-green	yes	asset_or_other	n/a	-
.worktrees/df-verifier-divergence	yes	asset_or_other	n/a	-
.worktrees/fritz-challenge-multi	yes	asset_or_other	n/a	-
.worktrees/mp-chesscom	yes	asset_or_other	n/a	-
client/e2e/mobile-390-hub-containment.spec.ts	yes	code	included_in_successful_builds	0
client/e2e/screenshots/mobile-390/chromium-mobile-bot-match-ingame.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/chromium-mobile-daily-fritz-ingame.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/chromium-mobile-daily-fritz.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/chromium-mobile-home.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/chromium-mobile-multiplayer.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/chromium-mobile-play-vs-fritz.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/chromium-mobile-private-mp-ingame.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/chromium-mobile-social.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/chromium-mobile-solo-hub.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/webkit-mobile-bot-match-ingame.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/webkit-mobile-daily-fritz-ingame.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/webkit-mobile-daily-fritz.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/webkit-mobile-home.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/webkit-mobile-multiplayer.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/webkit-mobile-play-vs-fritz.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/webkit-mobile-private-mp-ingame.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/webkit-mobile-social.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-390/webkit-mobile-solo-hub.png	yes	asset_or_other	n/a	-
client/e2e/screenshots/mobile-hub-containment/chromium-mobile-landscape-daily-fritz.png	yes	asset_or_other	n/a	-
